"Geneid","ORE_male_1","CHD_male_1","ORE_male_2","CHD_male_2 "
"FBgn0029664","68","26","53","10"
"FBgn0029666","178","80","160","31"
"FBgn0029669","1","1","5","0"
"FBgn0052792","22","5","19","2"
"FBgn0044046","8","2","1","1"
"FBgn0023215","940","467","778","100"
"FBgn0015286","204","137","181","28"
"FBgn0023216","69","49","72","12"
"FBgn0029672","62","22","55","6"
"FBgn0052791","216","71","173","14"
"FBgn0029667","7","3","10","0"
"FBgn0029665","35","11","17","3"
"FBgn0029663","453","239","385","64"
"FBgn0052785","1","0","0","0"
"FBgn0025118","1","0","3","0"
"FBgn0028491","61","48","55","18"
"FBgn0029681","2","0","2","0"
"FBgn0029686","38","15","24","4"
"FBgn0052786","0","0","0","0"
"FBgn0052783","0","0","0","0"
"FBgn0029687","915","485","841","112"
"FBgn0029690","0","0","0","0"
"FBgn0029689","101","60","96","13"
"FBgn0029688","2303","1213","1848","318"
"FBgn0029685","191","113","160","24"
"FBgn0019661","15599","9451","14083","2594"
"FBgn0029694","0","0","1","0"
"FBgn0000221","16","8","11","0"
"FBgn0026084","136","113","147","22"
"FBgn0026085","4","2","2","0"
"FBgn0026083","1793","922","1479","185"
"FBgn0066114","61","33","49","9"
"FBgn0029697","2","0","1","0"
"FBgn0029701","0","0","0","0"
"FBgn0029702","0","0","0","0"
"FBgn0029706","206","140","170","20"
"FBgn0029705","42","16","21","2"
"FBgn0040907","10","7","18","1"
"FBgn0002707","66","49","52","11"
"FBgn0040906","3","0","3","0"
"FBgn0029703","0","0","0","0"
"FBgn0040905","0","0","0","0"
"FBgn0040904","0","0","0","0"
"FBgn0029700","0","0","0","0"
"FBgn0052774","0","0","0","0"
"FBgn0041252","0","0","1","0"
"FBgn0029696","0","0","0","0"
"FBgn0000635","829","452","636","99"
"FBgn0026080","82","48","64","9"
"FBgn0026079","64","45","70","12"
"FBgn0004832","56","12","51","6"
"FBgn0029693","250","127","173","28"
"FBgn0000179","296","132","216","29"
"FBgn0029708","616","295","490","73"
"FBgn0029709","146","94","93","10"
"FBgn0029710","15","6","15","0"
"FBgn0029712","5","6","11","1"
"FBgn0029714","35","12","24","5"
"FBgn0029716","0","0","0","0"
"FBgn0022768","895","511","741","123"
"FBgn0029715","103","65","108","18"
"FBgn0029713","69","30","48","5"
"FBgn0029711","214","133","183","36"
"FBgn0003210","480","320","437","97"
"FBgn0052773","2","1","4","0"
"FBgn0011760","1609","769","1506","182"
"FBgn0028325","760","401","627","83"
"FBgn0029722","10","2","10","0"
"FBgn0029727","6","4","4","0"
"FBgn0029729","0","0","0","0"
"FBgn0029730","29","14","24","0"
"FBgn0029733","2","0","1","0"
"FBgn0052772","285","147","206","27"
"FBgn0029737","222","128","181","25"
"FBgn0004368","833","404","562","96"
"FBgn0029740","0","0","2","0"
"FBgn0061196","0","0","0","0"
"FBgn0029728","5","6","9","1"
"FBgn0029726","0","1","0","1"
"FBgn0029725","1","1","0","0"
"FBgn0025679","2","1","0","0"
"FBgn0029724","1","3","3","0"
"FBgn0029745","11","14","14","5"
"FBgn0029746","0","0","0","0"
"FBgn0003449","65","24","39","9"
"FBgn0011761","0","1","0","0"
"FBgn0029753","1","0","0","0"
"FBgn0029755","38","23","28","7"
"FBgn0014024","192","125","163","32"
"FBgn0029754","0","0","0","0"
"FBgn0029752","1","1","2","0"
"FBgn0029751","5","2","5","0"
"FBgn0029750","3","2","0","0"
"FBgn0029747","95","47","84","7"
"FBgn0052767","1583","894","1254","180"
"FBgn0026751","83","27","55","3"
"FBgn0010014","172","89","178","24"
