"Geneid","ORE_fem_1 ","CHD_fem_1 ","ORE_fem_2 ","CHD_fem_2 "
"FBgn0029728","7","1","2","0"
"FBgn0029726","1","1","0","0"
"FBgn0029725","2","0","1","1"
"FBgn0025679","2","0","5","1"
"FBgn0029724","1","1","4","1"
"FBgn0029745","3","7","6","2"
"FBgn0029746","0","0","0","0"
"FBgn0003449","40","13","35","9"
"FBgn0011761","0","0","0","0"
"FBgn0029753","1","0","0","0"
"FBgn0029755","30","9","19","4"
"FBgn0014024","145","65","91","41"
"FBgn0029754","0","0","0","1"
"FBgn0029752","0","1","0","0"
"FBgn0029751","7","0","0","0"
"FBgn0029750","9","1","6","0"
"FBgn0029747","76","28","45","19"
"FBgn0052767","989","474","660","207"
"FBgn0026751","33","12","15","10"
"FBgn0010014","112","35","70","34"
"FBgn0029761","1374","491","821","253"
"FBgn0029763","171","81","132","53"
"FBgn0029765","40","21","23","15"
"FBgn0029766","247","392","109","360"
"FBgn0029768","76","22","42","16"
"FBgn0029770","1","0","1","0"
"FBgn0029771","37","17","16","15"
"FBgn0026702","16","7","7","4"
"FBgn0004687","238","90","171","52"
"FBgn0029778","35","29","29","19"
"FBgn0052762","2","1","0","0"
"FBgn0029769","171","48","90","60"
"FBgn0029762","212","87","124","47"
"FBgn0029756","37","24","24","12"
"FBgn0028474","120","59","67","28"
"FBgn0029785","929","302","583","126"
"FBgn0003747","4","0","2","0"
"FBgn0000394","32","14","22","12"
"FBgn0029791","137","91","89","47"
"FBgn0029795","26","6","21","2"
"FBgn0029798","20","13","18","3"
"FBgn0029799","63","15","26","4"
"FBgn0029801","195","76","100","40"
"FBgn0029809","2","0","0","1"
"FBgn0029810","444","130","256","86"
"FBgn0029811","1","0","0","0"
"FBgn0029812","0","1","0","0"
"FBgn0029814","562","274","322","131"
"FBgn0052761","3","2","0","0"
"FBgn0029816","0","1","0","0"
"FBgn0029817","0","0","1","0"
"FBgn0029820","202","69","264","47"
"FBgn0029821","24","4","21","5"
"FBgn0029822","183","79","136","46"
"FBgn0029823","699","152","1094","185"
"FBgn0029819","152","76","111","33"
"FBgn0014340","68","20","69","11"
"FBgn0029818","87","39","42","26"
"FBgn0029813","4","0","3","0"
"FBgn0029807","11","7","16","3"
"FBgn0029804","117","47","72","21"
"FBgn0013987","233","90","178","48"
"FBgn0029800","57","9","31","8"
"FBgn0261383","303","169","237","107"
"FBgn0052758","511","204","317","123"
"FBgn0053080","221","167","178","114"
"FBgn0027564","45","34","32","28"
"FBgn0029789","121","40","91","26"
"FBgn0046687","60","9","39","14"
"FBgn0015794","49","16","43","20"
"FBgn0029783","9","2","5","2"
"FBgn0029824","123","61","90","35"
"FBgn0029825","30","10","18","8"
"FBgn0052756","44","12","30","3"
"FBgn0029826","18","2","14","5"
"FBgn0052755","7","1","5","0"
"FBgn0029827","1","0","0","0"
"FBgn0029828","171","61","87","48"
"FBgn0029830","53","11","68","8"
"FBgn0029831","2112","339","1987","138"
"FBgn0029833","52","28","33","18"
