Geneid,ORE_male_1,CHD_male_1,ORE_male_2,CHD_male_2 ,ORE_fem_1 ,CHD_fem_1 ,ORE_fem_2 ,CHD_fem_2 
FBgn0040900,13,9,13,1,11,2,6,0
FBgn0024984,2,0,0,0,0,0,0,0
FBgn0023549,134,131,117,28,98,65,72,54
FBgn0029606,2,0,2,0,0,0,1,1
FBgn0003048,985,543,755,97,514,302,350,174
FBgn0000810,113,80,133,17,93,28,55,14
FBgn0023523,4,6,4,3,8,2,1,3
FBgn0023527,61,51,60,10,42,7,28,16
FBgn0040391,11,14,6,2,10,10,19,3
FBgn0053218,4,2,2,0,6,5,5,2
FBgn0003079,236,134,195,34,137,66,80,41
FBgn0003159,462,271,354,58,237,169,170,100
FBgn0040389,48,22,24,6,28,3,22,5
FBgn0044047,90,98,98,18,122,47,70,24
FBgn0040392,8,14,10,0,18,5,15,3
FBgn0023526,459,161,406,30,306,66,182,34
FBgn0023529,750,346,573,90,501,181,392,125
FBgn0023528,391,229,361,72,272,107,153,52
FBgn0027296,144,97,115,22,95,45,51,23
FBgn0023524,638,268,487,71,276,111,207,81
FBgn0023525,71,33,45,11,51,33,44,12
FBgn0000377,92,51,79,16,62,21,45,10
FBgn0001330,80,33,66,17,49,8,25,3
FBgn0004397,1284,576,958,147,667,329,487,198
FBgn0023550,41,39,33,4,20,18,19,9
FBgn0029603,5,6,4,0,7,1,6,1
FBgn0023542,102,65,70,17,79,24,34,13
FBgn0023541,0,0,0,0,0,0,0,0
FBgn0005670,16,28,13,13,4,21,4,8
FBgn0004655,907,432,696,96,531,208,360,138
FBgn0013432,52,23,46,13,41,11,24,7
FBgn0004861,436,236,352,53,254,134,170,57
FBgn0004860,421,196,332,46,241,126,135,60
FBgn0040394,118,67,104,20,82,39,52,33
FBgn0040376,18,6,15,1,7,4,6,1
FBgn0040066,71,33,55,7,56,18,23,7
FBgn0001404,599,389,512,70,412,186,199,92
FBgn0040336,44,32,22,2,33,13,15,6
FBgn0040333,20,7,15,1,4,1,3,0
FBgn0040334,40,40,29,7,27,13,21,5
FBgn0029629,194,92,135,24,171,47,108,28
FBgn0011566,51,54,47,5,51,24,29,19
FBgn0011606,16,17,11,2,10,4,1,6
FBgn0040375,90,41,85,9,48,21,52,10
FBgn0040377,59,15,41,6,27,6,20,7
FBgn0040388,44,24,48,10,32,10,17,10
FBgn0003714,98,50,68,17,67,20,56,17
FBgn0001150,99,38,64,7,55,47,64,16
FBgn0052797,5,1,6,0,5,0,3,2
FBgn0040385,5,2,1,0,3,2,4,0
FBgn0003371,3028,1361,2336,335,1936,641,1196,365
FBgn0003068,1333,509,959,160,688,428,333,173
FBgn0024993,22,9,25,2,10,3,4,9
FBgn0024996,80,39,83,10,58,20,31,12
FBgn0024997,206,38,168,16,87,33,56,16
FBgn0024991,28,22,47,3,23,10,5,5
FBgn0000928,9,9,5,1,0,0,0,1
FBgn0000927,2,2,1,1,0,0,0,0
FBgn0000520,97,43,75,14,35,23,28,8
FBgn0024975,21,17,31,3,14,11,8,3
FBgn0040356,1,1,2,0,2,0,0,0
FBgn0003996,94,7,54,1,83,0,59,2
FBgn0040384,197,102,197,31,169,51,118,37
FBgn0024980,61,49,66,13,58,29,31,17
FBgn0000376,222,108,187,37,112,61,105,37
FBgn0024973,156,83,115,20,85,60,67,38
FBgn0024998,75,42,73,8,35,18,28,5
FBgn0024995,67,21,51,10,18,5,18,6
FBgn0024994,49,45,41,15,31,12,18,7
FBgn0024992,222,110,172,31,116,67,97,33
FBgn0000092,13,10,6,2,2,6,1,4
FBgn0025838,0,2,0,0,2,0,1,0
FBgn0011276,11,2,8,1,6,3,5,2
FBgn0004647,373,245,336,52,200,149,139,77
FBgn0040396,37,10,22,3,23,7,15,2
FBgn0000479,1927,1019,1642,231,1358,541,894,260
FBgn0002933,3,0,0,1,3,0,1,0
FBgn0003374,5,5,4,0,2,1,3,0
FBgn0029660,5,5,3,2,7,1,4,2
FBgn0029662,20,5,8,0,9,6,12,1
FBgn0029661,7,9,6,2,1,1,3,0
FBgn0029659,5,2,5,0,1,0,7,0
FBgn0029658,2,0,3,0,0,0,0,0
FBgn0052493,0,0,0,0,0,0,0,0
FBgn0029657,5,8,7,0,9,2,9,1
FBgn0003086,8,1,5,0,4,3,8,3
FBgn0010296,0,0,0,0,0,0,0,0
FBgn0010295,1,1,3,0,2,0,1,0
FBgn0010294,2,1,0,1,1,3,0,0
FBgn0040393,4,1,7,1,5,1,1,2
FBgn0000644,3,4,1,0,2,0,1,0
FBgn0028746,17,16,14,5,32,4,14,6
FBgn0040355,7,3,6,1,6,2,0,0
FBgn0052793,16,10,8,6,9,0,11,2
FBgn0029642,6,2,2,1,1,1,3,1
FBgn0025645,3,4,1,0,6,4,2,3
FBgn0029643,6,7,1,1,2,1,7,3
FBgn0029644,2,7,6,1,2,2,2,2
FBgn0029645,4,4,4,0,8,0,3,0
FBgn0029646,10,3,6,0,4,1,2,1
FBgn0029647,5,2,4,0,6,1,0,0
FBgn0029648,33,23,21,6,15,11,6,4
FBgn0028369,309,164,303,42,208,75,117,32
FBgn0029649,1,0,0,0,2,0,0,0
FBgn0003285,143,120,119,24,125,54,72,24
FBgn0025644,9,3,1,1,2,3,2,0
FBgn0029639,42,28,37,13,99,24,43,20
FBgn0040354,4,8,9,0,4,0,6,2
FBgn0040353,3,2,8,2,7,6,3,1
FBgn0040352,4,1,0,0,8,0,3,1
FBgn0029664,68,26,53,10,34,14,22,8
FBgn0029666,178,80,160,31,152,51,85,31
FBgn0029669,1,1,5,0,1,0,1,0
FBgn0052792,22,5,19,2,11,3,4,1
FBgn0044046,8,2,1,1,0,1,1,1
FBgn0023215,940,467,778,100,638,296,326,117
FBgn0015286,204,137,181,28,148,89,100,45
FBgn0023216,69,49,72,12,46,27,55,15
FBgn0029672,62,22,55,6,59,9,26,7
FBgn0052791,216,71,173,14,137,34,92,17
FBgn0029667,7,3,10,0,8,2,6,3
FBgn0029665,35,11,17,3,22,4,16,3
FBgn0029663,453,239,385,64,246,83,166,51
FBgn0052785,1,0,0,0,0,0,0,0
FBgn0025118,1,0,3,0,1,0,0,0
FBgn0028491,61,48,55,18,34,29,19,14
FBgn0029681,2,0,2,0,1,0,6,1
FBgn0029686,38,15,24,4,13,7,12,10
FBgn0052786,0,0,0,0,0,0,0,0
FBgn0052783,0,0,0,0,0,0,1,0
FBgn0029687,915,485,841,112,752,212,447,135
FBgn0029690,0,0,0,0,0,0,0,0
FBgn0029689,101,60,96,13,51,21,52,19
FBgn0029688,2303,1213,1848,318,1374,652,1035,370
FBgn0029685,191,113,160,24,93,47,51,32
FBgn0019661,15599,9451,14083,2594,42,19,27,27
FBgn0029694,0,0,1,0,1,0,0,0
FBgn0000221,16,8,11,0,9,4,4,5
FBgn0026084,136,113,147,22,99,44,58,37
FBgn0026085,4,2,2,0,2,0,0,0
FBgn0026083,1793,922,1479,185,1003,555,699,289
FBgn0066114,61,33,49,9,38,13,22,10
FBgn0029697,2,0,1,0,2,0,0,0
FBgn0029701,0,0,0,0,0,0,0,0
FBgn0029702,0,0,0,0,0,0,0,0
FBgn0029706,206,140,170,20,90,68,84,33
FBgn0029705,42,16,21,2,13,6,5,4
FBgn0040907,10,7,18,1,17,4,12,4
FBgn0002707,66,49,52,11,42,23,27,6
FBgn0040906,3,0,3,0,2,0,1,0
FBgn0029703,0,0,0,0,0,0,0,0
FBgn0040905,0,0,0,0,0,0,0,0
FBgn0040904,0,0,0,0,0,1,0,0
FBgn0029700,0,0,0,0,0,0,0,0
FBgn0052774,0,0,0,0,0,0,0,0
FBgn0041252,0,0,1,0,0,0,0,0
FBgn0029696,0,0,0,0,0,0,0,0
FBgn0000635,829,452,636,99,438,222,297,136
FBgn0026080,82,48,64,9,53,19,40,14
FBgn0026079,64,45,70,12,58,23,39,21
FBgn0004832,56,12,51,6,29,6,15,4
FBgn0029693,250,127,173,28,146,52,93,31
FBgn0000179,296,132,216,29,181,85,121,40
FBgn0029708,616,295,490,73,313,116,221,58
FBgn0029709,146,94,93,10,93,38,59,23
FBgn0029710,15,6,15,0,13,2,12,0
FBgn0029712,5,6,11,1,6,1,4,3
FBgn0029714,35,12,24,5,18,4,17,8
FBgn0029716,0,0,0,0,1,1,0,0
FBgn0022768,895,511,741,123,608,284,377,173
FBgn0029715,103,65,108,18,111,20,55,22
FBgn0029713,69,30,48,5,33,10,27,9
FBgn0029711,214,133,183,36,147,78,104,45
FBgn0003210,480,320,437,97,310,180,242,95
FBgn0052773,2,1,4,0,5,3,2,0
FBgn0011760,1609,769,1506,182,1149,312,617,152
FBgn0028325,760,401,627,83,576,225,332,112
FBgn0029722,10,2,10,0,3,0,2,0
FBgn0029727,6,4,4,0,2,1,0,2
