"","log2FoldChange","padj"
"FBgn0032002",1.04297969800064,5.35194673179284e-05
"FBgn0032025",-1.04791025425989,9.6496969409752e-06
"FBgn0032000",0.829646209895351,1.64417035434416e-05
"FBgn0003607",0.680679527255015,2.16143403768676e-06
"FBgn0051896",-0.685353872535103,4.73133945012574e-07
"FBgn0028394",-0.940295100198532,2.21521328152993e-17
"FBgn0011259",-1.68275856199334,9.94157760366494e-28
"FBgn0051892",-0.733793585103653,1.10439611573505e-10
"FBgn0001114",-1.80311026139818,9.77739673490872e-47
"FBgn0029123",-1.05442684181561,1.96065549800512e-35
"FBgn0032074",-1.29737727003271,0.00853363440603312
"FBgn0026439",1.37298257174622,2.20588903250414e-22
"FBgn0051885",-0.586972496021147,0.000574854726761497
"FBgn0032140",-0.81262642914212,1.64756484771593e-16
"FBgn0028704",-1.37026010884593,1.52964939273903e-05
"FBgn0000180",1.02919693203185,0.00125672764644277
"FBgn0032178",0.805842111990831,3.00976918481035e-09
"FBgn0003751",0.949554267456344,1.26560878244191e-05
"FBgn0032264",-1.05355648471669,6.86401698530616e-25
"FBgn0032362",-1.19854685182543,6.28368380156937e-10
"FBgn0032381",-5.5775146622967,5.89342364392886e-20
"FBgn0032382",-3.07817365236449,3.45736120040745e-14
"FBgn0003935",-0.953031732203386,1.3121347402884e-06
"FBgn0012037",0.951292346511562,1.27261920000324e-05
"FBgn0028909",-0.616401925789498,1.00956275356437e-05
"FBgn0011865",-0.762679819287128,0.000278838001899027
"FBgn0011863",-0.993826453433207,0.000530028135759447
"FBgn0028863",-5.29484291332691,5.33715194260144e-30
"FBgn0041183",-0.76681224736062,0.0068167928464547
"FBgn0020416",-1.77521861499322,2.87311900033281e-39
"FBgn0020415",-0.75373991366839,2.30730834416773e-12
"FBgn0028523",-0.802393882107556,3.22439291672502e-10
"FBgn0032603",-2.23267773237261,0.00242548276895917
"FBgn0040260",-1.50166157966065,2.85930415111584e-09
"FBgn0032613",-0.699690486224729,0.000114475431850487
"FBgn0032629",-2.27149862963483,2.87266385095337e-63
"FBgn0032638",-1.38987658832782,2.70380976724347e-05
"FBgn0032692",1.58819852592376,0.000290410227796776
"FBgn0032681",0.602882466221873,2.16143403768676e-06
"FBgn0032715",-0.773208651867133,0.000601555764498784
"FBgn0032820",-0.800463758814541,7.80148405569046e-08
"FBgn0032895",1.75731488971461,2.81693510000973e-06
"FBgn0032946",-2.03016909756982,1.25001497399594e-15
"FBgn0051491",-0.702903521474337,8.78208338255979e-05
"FBgn0000003",-0.87115156864073,7.07594360133552e-06
"FBgn0011904",-2.2572907315981,0.00011560784354287
"FBgn0037519",-1.73004533211731,2.28024157344769e-08
"FBgn0037546",-1.00400608941646,0.000118360168708209
"FBgn0037548",-1.47616401503717,1.61094874038218e-27
"FBgn0012024",-0.588755301173837,5.96374696327021e-08
"FBgn0012025",-0.621491339710604,3.38479626024066e-09
"FBgn0012026",-0.993652745285243,4.92540630172591e-18
"FBgn0012027",-0.613577747473465,3.16316634937401e-08
"FBgn0012028",-0.740565954316186,1.69317472817741e-10
"FBgn0010222",-0.874294700466656,2.55975245056495e-12
"FBgn0000723",-0.817200898774509,1.67491254589961e-06
"FBgn0037676",1.65773015669653,0.00938033278689227
"FBgn0037723",-0.672109780890681,1.06187559577545e-06
"FBgn0037753",1.50960877107438,3.04982349542361e-05
"FBgn0037754",2.03916897255387,2.75875664588143e-25
"FBgn0002868",1.7450263497022,4.47583307051151e-29
"FBgn0037831",-0.678207698784677,6.90159926747716e-05
"FBgn0042094",-0.894987808945607,1.03551546898288e-06
