,Chd1_Ctrl1,Chd1_Auxin1,Chd1_Ctrl2,Chd1_Auxin2
FBgn0063382,36.5963388782268,30.5207983325712,27.8592538230721,22.5517926627202
FBgn0063388,23.6799839800291,21.6599213973086,28.8542271738961,27.2500828007869
FBgn0063375,24.7563468882123,15.7526701071335,22.8843870689521,16.9138444970402
FBgn0063374,19.3745323472966,25.598088924092,16.914546964008,15.0345284418135
FBgn0063380,26.9090727045786,30.5207983325712,40.7939073837841,29.1293988560136
FBgn0063379,23.6799839800291,10.8299606986543,10.944706859064,16.9138444970402
FBgn0063378,20.4508952554797,22.6444632790045,16.914546964008,15.0345284418135
FBgn0063387,33.3672501536774,26.5826308057878,27.8592538230721,31.9483729388536
FBgn0063373,31.2145243373111,23.6290051607003,17.9095203148321,21.6121346351069
FBgn0063386,22.603621071846,28.5517145691795,27.8592538230721,27.2500828007869
FBgn0034263,1.07636290818314,3.93816752678338,3.97989340329601,0
FBgn0034264,33.3672501536774,52.1807197298798,36.8140139804881,50.7415334911205
FBgn0034266,10.7636290818314,16.7372119888294,10.944706859064,13.1552123865868
FBgn0034267,51.6654195927908,59.0725129017508,49.7486675412001,40.4052951873737
FBgn0034271,2629.55458469142,2523.38084278645,2687.42302057563,2688.36161700177
FBgn0034272,125.934460257428,219.552839618174,123.376695502176,176.655709191308
FBgn0003545,150.69080714564,244.16638666057,145.266109220304,183.233315384602
FBgn0034270,505.890566846077,402.677629613601,452.712874624921,431.303034674524
FBgn0034269,636.130478736237,643.890390629083,687.526585419386,627.691562445712
FBgn0034265,279.854356127617,277.640810638229,272.622698125777,281.897408284003
FBgn0028494,43.0545163273257,70.8870154821009,47.7587208395521,73.2933261538407
FBgn0027872,71.0399519400874,74.8251830088843,51.7386142428482,54.5001656015738
FBgn0034262,492.974211947879,502.116359664881,577.084543477922,543.122339960512
FBgn0016059,2135.50400983535,2097.07420801215,2044.67023594333,2056.91142244561
FBgn0034259,1012.85749660034,981.588256050758,999.948217578123,1116.31373680465
FBgn0050106,4.30545163273257,4.92270940847923,2.98492005247201,1.87931605522668
FBgn0034253,25.8327097963954,23.6290051607003,34.8240672788401,28.1897408284003
FBgn0034255,263.70891250487,37.4125915044421,275.607618178249,41.344953214987
FBgn0004400,58.1235970418897,9.84541881695846,69.6481345576802,13.1552123865868
FBgn0050333,898.763028332924,1104.65599126274,1343.2140236124,924.623499171528
FBgn0050105,92.5672101037502,77.7788086539718,69.6481345576802,79.8709323471341
FBgn0034249,427.316074548708,440.090221118043,326.351259070273,352.371760355003
FBgn0034248,48.4363308682414,37.4125915044421,38.8039606821361,41.344953214987
FBgn0034247,15.069080714564,20.6753795156128,16.914546964008,15.0345284418135
FBgn0034246,942.893907568433,1343.89966851483,940.249816528683,1437.67678224841
FBgn0034245,460.683324702385,494.240024611315,462.662608133161,542.182681932898
FBgn0034243,696.406801594493,669.488479553175,728.32049280317,791.192059250434
FBgn0011879,1316.39183670798,1408.87943270676,1448.68119879975,1554.19437767247
FBgn0010620,180.828968574768,184.109331877123,133.326429010416,180.414341301762
FBgn0016697,468.217865059667,500.14727590149,523.355982533426,599.501821617312
FBgn0022029,2010.64591248611,2193.55931241834,2065.56467631063,2491.97308923058
FBgn0034215,582.31233332708,615.338676059904,672.601985157026,692.527966351033
FBgn0034217,312.145243373111,319.97611155115,270.632751424129,317.60441333331
FBgn0034218,68.8872261237211,72.8560992454926,58.7034276986162,67.6553779881606
FBgn0034221,201.279863830248,123.067735211981,164.17060288596,104.302041065081
FBgn0024196,434.85061490599,688.194775305396,486.541968552937,715.079759013753
FBgn0028953,1760.92971778762,2245.74003214822,1811.84647185051,2428.07634335288
FBgn0022987,899.839391241107,1292.70349066665,957.164363492691,1317.40055471391
FBgn0050104,17.2218065309303,50.2116359664881,20.8944403673041,61.0777717948672
FBgn0050103,3.22908872454943,39.3816752678338,6.96481345576802,39.4656371597604
FBgn0034229,6.45817744909885,6.89179317187092,10.944706859064,10.3362383037468
FBgn0034230,466.065139243301,436.15205359126,491.516835307057,475.466961972351
FBgn0034232,142.079903880175,134.882237792331,117.406855397232,144.707336252455
FBgn0034237,1238.8937073188,1066.2588578766,1307.39498298274,1208.40022351076
FBgn0028382,608.145043123475,529.683532352365,601.958877248522,560.975842485165
FBgn0034240,4988.94207942887,4643.09951407761,4930.09295333293,4976.42891424026
FBgn0010409,1400.34814354627,1362.60596426705,1500.4198130426,1403.84909325433
FBgn0034231,131.316274798343,116.17594204011,109.44706859064,132.491781893481
FBgn0034224,29.0617985209448,29.5362564508754,11.939680209888,32.888030966467
FBgn0034223,724.392237207255,967.804669707017,738.27022631141,1058.05493909262
FBgn0028956,3183.88148240574,3821.99158474327,3168.99012237445,3902.39978867821
FBgn0034219,175.447154033852,282.563520046708,173.125363043376,280.957750256389
FBgn0027506,1251.81006221699,1649.10765184054,1224.81219486435,1769.37606599592
FBgn0025716,443.461518171455,524.760822943886,423.858647451025,463.251407613378
FBgn0034214,362.734300057719,482.425522030965,375.104953260649,539.363707850058
FBgn0050101,4.30545163273257,3.93816752678338,9.94973350824003,6.57760619329339
FBgn0034210,471.446953784216,538.544409287628,479.577155097169,620.174298224806
FBgn0050232,899.839391241107,923.500285030704,944.229709931979,965.028794358902
FBgn0034179,1224.90098951242,1112.53232631631,1204.91272784787,1199.94330126224
